Country,US 2024 Deficit,US 2024 Exports,US 2024 Imports (Customs Basis),Trump Tariffs Alleged,Trump Response,Population,Export_Import_Ratio,Per_Capita_Exports,Per_Capita_Imports,Tariff_Differential
Afghanistan,-11.1,11.4,22.6,0.49,0.25,41454761.0,0.504424778761062,2.7499857012804874e-07,5.451726039380616e-07,0.24
Albania,13.4,141.7,128.3,0.1,0.1,2745972.0,1.104442712392829,5.16028568390355e-05,4.672298188036878e-05,0.0
Algeria,-1447.1,1014.5,2461.6,0.59,0.29,46164219.0,0.41213032174195646,2.197589436095518e-05,5.3322682660352165e-05,0.3
Andorra,1.5,4.9,3.4,0.1,0.1,80856.0,1.4411764705882355,6.060156327297913e-05,4.2050064311863065e-05,0.0
Angola,-1186.9,682.4,1869.2,0.63,0.32,36749906.0,0.36507596832869676,1.8568754978584162e-05,5.086271513184279e-05,0.31
Antigua and Barbuda,550.0,573.8,23.8,0.1,0.1,93316.0,24.109243697478988,0.006148999099832826,0.00025504736593938876,0.0
Argentina,2078.8,9171.0,7092.2,0.1,0.1,45538401.0,1.2931107413778518,0.00020139047042956119,0.00015574108541931456,0.0
Armenia,39.2,160.8,121.6,0.1,0.1,2990900.0,1.3223684210526316,5.376308134675182e-05,4.065665853087699e-05,0.0
Aruba,714.8,725.5,10.7,0.1,0.1,107359.0,67.80373831775701,0.006757700798256318,9.966560791363556e-05,0.0
Australia*,17907.8,34593.3,16685.5,0.1,0.1,26658948.0,2.0732552215995925,0.0012976243473673457,0.0006258874131117252,0.0
Azerbaijan,97.3,255.1,157.8,0.1,0.1,10153958.0,1.6166032953105194,2.5123208112540943e-05,1.5540737907326385e-05,0.0
Bahamas,3847.4,5639.7,1792.4,0.1,0.1,399440.0,3.146451684891765,0.014119016623272581,0.004487282195073102,0.0
Bahrain*,441.9,1646.2,1204.3,0.1,0.1,1577059.0,1.3669351490492403,0.0010438417332515777,0.000763636617273038,0.0
Bangladesh,-6151.8,2214.0,8365.8,0.74,0.37,171466990.0,0.26464892777737936,1.2912106289379665e-05,4.878956585171291e-05,0.37
Barbados,724.0,772.6,48.6,0.1,0.1,282336.0,15.897119341563785,0.0027364558540179077,0.00017213532811968717,0.0
Belarus,-9.4,10.6,20.0,0.47,0.24,9178298.0,0.53,1.1548982175126586e-06,2.179053240589922e-06,0.22999999999999998
Belize,509.3,590.4,81.1,0.1,0.1,411106.0,7.2799013563501855,0.0014361259626471032,0.00019727272285006785,0.0
Benin,167.8,216.4,48.6,0.1,0.1,14111034.0,4.4526748971193415,1.5335516872824487e-05,3.4441133087766638e-06,0.0
Bermuda,517.1,540.4,23.3,0.1,0.1,64698.0,23.1931330472103,0.00835265386874401,0.0003601347800550249,0.0
Bhutan,0.1,3.4,3.3,0.1,0.1,780914.0,1.0303030303030303,4.353872513490602e-06,4.225817439564407e-06,0.0
Bolivia,-103.1,401.0,504.1,0.2,0.1,12244159.0,0.795477087879389,3.2750309759943495e-05,4.117065124685167e-05,0.1
Bosnia and Herzegovina,-126.1,53.0,179.1,0.7,0.35,3185073.0,0.29592406476828587,1.6640120964260472e-05,5.6231050277340584e-05,0.35
Botswana,-300.8,104.3,405.1,0.74,0.37,2480244.0,0.2574672920266601,4.205231420779568e-05,0.00016333070455971268,0.37
Brazil,7350.7,49667.0,42316.3,0.1,0.1,211140729.0,1.17370847640271,0.00023523173494394823,0.00020041751395108616,0.0
British Virgin Islands,252.7,312.9,60.2,0.1,0.1,38985.0,5.197674418604651,0.008026163909195845,0.0015441836603821983,0.0
Brunei,-111.6,127.2,238.8,0.47,0.23,458949.0,0.5326633165829145,0.000277154978004092,0.0005203192511586255,0.23999999999999996
Burkina Faso,49.8,54.4,4.5,0.1,0.1,23025776.0,12.088888888888889,2.3625696697475036e-06,1.9543315282837807e-07,0.0
Burundi,2.9,6.6,3.7,0.1,0.1,13689450.0,1.7837837837837835,4.821230947919748e-07,2.7028112889853136e-07,0.0
Cabo Verde,7.8,12.2,4.5,0.1,0.1,522331.0,2.711111111111111,2.3356836948218658e-05,8.615226743195407e-06,0.0
Cambodia,-12340.2,321.6,12661.8,0.97,0.49,17423880.0,0.025399232336634606,1.845742739275064e-05,0.0007266923325918222,0.48
Cameroon,-55.7,193.1,248.8,0.22,0.11,28372687.0,0.7761254019292604,6.805841124599866e-06,8.768996746765648e-06,0.11
Canada**,-63335.8,349359.9,412695.7,0.15,0.1,40097761.0,0.8465314758549701,0.008712703434987305,0.010292238012990302,0.04999999999999999
Cayman Islands,1237.1,1286.5,49.4,0.1,0.1,73038.0,26.04251012145749,0.017614118677948466,0.000676360250828336,0.0
Central African Republic,33.6,35.1,1.4,0.1,0.1,5152421.0,25.071428571428573,6.812331523375128e-06,2.717169268582672e-07,0.0
Chad,-20.9,59.9,80.8,0.26,0.13,19319064.0,0.7413366336633663,3.1005642923487388e-06,4.182397242433691e-06,0.13
Chile*,1698.3,18167.8,16469.5,0.1,0.1,19658835.0,1.1031178845745164,0.0009241544577794157,0.0008377658187781727,0.0
China,-295401.6,143545.7,438947.4,0.67,0.34,1410710000.0,0.32702255441084743,0.00010175422305080421,0.00031115353261832693,0.33
Colombia*,1347.3,19037.6,17690.3,0.1,0.1,52321152.0,1.0761603816780947,0.00036386048992193443,0.000338109910118187,0.0
Comoros,2.9,4.7,1.8,0.1,0.1,850387.0,2.611111111111111,5.5268954017406195e-06,2.116683345347471e-06,0.0
Costa Rica**,-1958.1,9676.8,11634.9,0.17,0.1,5105525.0,0.8317046128458345,0.0018953584597078653,0.0022788841500139554,0.07
Cote d'Ivoire,-418.1,596.6,1014.7,0.41,0.21,31165654.0,0.587957031634966,1.9142867978961713e-05,3.255827713418111e-05,0.19999999999999998
Cuba,581.6,586.5,4.9,0.1,0.1,11019931.0,119.69387755102039,5.322174884761075e-05,4.4464888210280086e-07,0.0
Curacao,791.6,823.5,31.9,0.1,0.1,147862.0,25.815047021943574,0.005569382261838741,0.00021574170510340723,0.0
Djibouti,104.9,145.0,40.1,0.1,0.1,1152944.0,3.615960099750623,0.0001257649981265352,3.478052706809698e-05,0.0
Dominica,56.5,58.8,2.3,0.1,0.1,66510.0,25.565217391304348,0.0008840775823184483,3.458126597504134e-05,0.0
Dominican Republic**,5576.2,13081.7,7505.4,0.1,0.1,11331265.0,1.7429717270232101,0.001154478339355756,0.0006623620575460904,0.0
Ecuador,-992.7,7531.7,8524.3,0.12,0.1,17980083.0,0.8835564210551013,0.00041889128098018233,0.00047409681034286656,0.01999999999999999
Egypt,3546.0,6092.0,2546.0,0.1,0.1,114535772.0,2.3927729772191673,5.318862302687408e-05,2.222886313631343e-05,0.0
El Salvador**,2245.1,4556.4,2311.2,0.1,0.1,6309624.0,1.9714434060228452,0.0007221349481363707,0.0003662975796973005,0.0
Equatorial Guinea,-32.3,95.4,127.6,0.25,0.13,1847549.0,0.7476489028213167,5.16359782609284e-05,6.906447406807614e-05,0.12
Eritrea (-),140.0,185.0,216.0,0.1,0.1,3470390.0,0.8564814814814815,5.330812963384519e-05,6.22408432481652e-05,0.0
